e_field charge_filename light_filename charge_thresholds light_samples
205.986 packet-0050001-2024_07_01_23_30_02_CDT.h5 mpd_run_hvramp_rctl_087_p104.data high 256
205.986 packet-0050001-2024_07_01_23_40_03_CDT.h5 mpd_run_hvramp_rctl_087_p104.data high 256
205.986 packet-0050001-2024_07_01_23_40_03_CDT.h5 mpd_run_hvramp_rctl_087_p105.data high 256
205.986 packet-0050001-2024_07_01_23_40_03_CDT.h5 mpd_run_hvramp_rctl_087_p106.data high 256
205.986 packet-0050001-2024_07_01_23_50_05_CDT.h5 mpd_run_hvramp_rctl_087_p106.data high 256
205.986 packet-0050001-2024_07_01_23_50_05_CDT.h5 mpd_run_hvramp_rctl_087_p107.data high 256
205.986 packet-0050001-2024_07_01_23_50_05_CDT.h5 mpd_run_hvramp_rctl_087_p108.data high 256
205.986 packet-0050001-2024_07_02_00_00_06_CDT.h5 mpd_run_hvramp_rctl_087_p108.data high 256
205.986 packet-0050001-2024_07_02_00_00_06_CDT.h5 mpd_run_hvramp_rctl_087_p109.data high 256
205.986 packet-0050001-2024_07_02_00_00_06_CDT.h5 mpd_run_hvramp_rctl_087_p110.data high 256
205.986 packet-0050001-2024_07_02_00_10_07_CDT.h5 mpd_run_hvramp_rctl_087_p110.data high 256
205.986 packet-0050001-2024_07_02_00_10_07_CDT.h5 THERE_IS_NO_LIGHT_ONLY_DARKNESS high 256
205.986 packet-0050001-2024_07_02_00_10_07_CDT.h5 mpd_run_hvramp_rctl_087_p111.data high 256
205.986 packet-0050001-2024_07_02_00_10_07_CDT.h5 THERE_IS_NO_LIGHT_ONLY_DARKNESS high 256
205.986 packet-0050001-2024_07_02_00_20_08_CDT.h5 THERE_IS_NO_LIGHT_ONLY_DARKNESS high 256
205.986 packet-0050001-2024_07_02_00_20_08_CDT.h5 THERE_IS_NO_LIGHT_ONLY_DARKNESS high 256
205.986 packet-0050001-2024_07_02_00_20_08_CDT.h5 mpd_run_hvramp_rctl_087_p112.data high 256
205.986 packet-0050001-2024_07_02_00_20_08_CDT.h5 mpd_run_hvramp_rctl_087_p113.data high 256
205.986 packet-0050001-2024_07_02_00_20_08_CDT.h5 mpd_run_hvramp_rctl_087_p113.data high 256
205.986 packet-0050001-2024_07_02_00_20_08_CDT.h5 mpd_run_hvramp_rctl_087_p114.data high 256
205.986 packet-0050001-2024_07_02_00_30_09_CDT.h5 mpd_run_hvramp_rctl_087_p114.data high 256
205.986 packet-0050001-2024_07_02_00_30_09_CDT.h5 mpd_run_hvramp_rctl_087_p115.data high 256
205.986 packet-0050001-2024_07_02_00_30_09_CDT.h5 mpd_run_hvramp_rctl_087_p116.data high 256
205.986 packet-0050001-2024_07_02_00_40_10_CDT.h5 mpd_run_hvramp_rctl_087_p116.data high 256
205.986 packet-0050001-2024_07_02_00_40_10_CDT.h5 mpd_run_hvramp_rctl_087_p117.data high 256
205.986 packet-0050001-2024_07_02_00_50_11_CDT.h5 mpd_run_hvramp_rctl_087_p118.data high 256
205.986 packet-0050001-2024_07_02_00_50_11_CDT.h5 mpd_run_hvramp_rctl_087_p119.data high 256
205.986 packet-0050001-2024_07_02_01_00_12_CDT.h5 mpd_run_hvramp_rctl_087_p120.data high 256
205.986 packet-0050001-2024_07_02_01_00_12_CDT.h5 mpd_run_hvramp_rctl_087_p121.data high 256
205.986 packet-0050001-2024_07_02_01_10_13_CDT.h5 mpd_run_hvramp_rctl_087_p122.data high 256
205.986 packet-0050001-2024_07_02_01_10_13_CDT.h5 mpd_run_hvramp_rctl_087_p123.data high 256
205.986 packet-0050001-2024_07_02_01_20_14_CDT.h5 mpd_run_hvramp_rctl_087_p124.data high 256
205.986 packet-0050001-2024_07_02_01_20_14_CDT.h5 mpd_run_hvramp_rctl_087_p125.data high 256
205.986 packet-0050001-2024_07_02_01_30_15_CDT.h5 mpd_run_hvramp_rctl_087_p126.data high 256
205.986 packet-0050001-2024_07_02_01_30_15_CDT.h5 mpd_run_hvramp_rctl_087_p126.data high 256
205.986 packet-0050001-2024_07_02_01_30_15_CDT.h5 mpd_run_hvramp_rctl_087_p126.data high 256
205.986 packet-0050001-2024_07_02_01_30_15_CDT.h5 mpd_run_hvramp_rctl_087_p127.data high 256
205.986 packet-0050001-2024_07_02_01_40_16_CDT.h5 mpd_run_hvramp_rctl_087_p128.data high 256
205.986 packet-0050001-2024_07_02_01_40_16_CDT.h5 mpd_run_hvramp_rctl_087_p129.data high 256
205.986 packet-0050001-2024_07_02_01_50_17_CDT.h5 mpd_run_hvramp_rctl_087_p130.data high 256
